,i,j,distance
0,0,3,15.470721780459884
1,0,72,7.835036696639917
2,3,339,8.426587709247112
3,18,31,8.083561800411339
4,18,124,27.252357691062244
5,19,22,31.202263017446548
6,19,66,7.9087541056293755
7,22,169,7.887664419387178
8,22,179,27.258344712367233
9,24,26,27.60414364094114
10,26,27,27.427140605169352
11,26,115,7.917822401836133
12,27,28,14.268612727053744
13,27,176,7.908170111591617
14,28,29,13.168278078426496
15,28,107,8.293087321909804
16,29,30,31.116820768112863
17,29,112,7.881846425426407
18,31,192,7.788843399097336
19,42,43,27.419288182148694
20,42,136,7.817609921379522
21,43,45,27.42349683182361
22,43,58,7.958369494788234
23,45,265,21.339341901565128
24,45,310,5.629626091086268
25,46,52,16.096809160606778
26,46,210,27.46767340241107
27,52,55,7.9760259474439
28,52,288,27.42651948880771
29,55,43,7.854556824537437
30,55,136,27.417020683994426
31,58,59,4.27066338193819
32,58,553,27.422448256965176
33,59,154,3.5988572496527897
34,62,65,27.346133324755584
35,62,264,7.975138225897519
36,65,166,7.925855099411108
37,65,381,4.238021939865915
38,66,76,7.965729037194997
39,72,75,15.459354138950562
40,72,110,7.87647764753461
41,75,3,7.843968345057865
42,76,79,31.176152459950487
43,76,259,8.564673239161738
44,79,235,7.951691103048282
45,79,403,27.359301475272638
46,80,82,19.70859728383615
47,80,232,8.41596858208887
48,82,83,7.787471054164194
49,82,104,8.117959039984354
50,83,229,27.322379462505847
51,83,352,7.804649078217345
52,91,95,27.480171027301196
53,91,151,8.023288301450078
54,95,96,27.44715150623077
55,95,340,8.37383892414364
56,96,147,7.8645219845299374
57,101,82,8.778834884953234
58,101,232,22.0187548406844
59,104,105,8.18887292452556
60,104,385,17.570188030436153
61,105,28,8.145593031140756
62,105,114,12.01860579992565
63,107,108,8.201754749885223
64,107,176,16.902889449411674
65,108,151,7.839809810670507
66,110,30,7.84069602614683
67,110,112,31.042759238327985
68,112,105,15.442905634320702
69,112,385,7.891321451408535
70,114,27,7.804433785387261
71,114,115,27.45108787436114
72,115,117,27.723585395136265
73,115,228,7.847229015720431
74,117,24,7.87555249960349
75,118,119,12.7159416233918
76,118,320,8.693632419869758
77,119,272,7.7904893745823465
78,124,127,7.264482209748571
79,124,247,7.989176908198282
80,127,129,20.278837478662208
81,127,265,7.992036392754795
82,129,55,27.424408790236342
83,129,288,8.011288839412407
84,136,282,7.939897924455853
85,147,149,27.35941631659699
86,147,314,7.781159713458269
87,149,95,7.944783171096716
88,149,108,19.77802658046502
89,151,174,7.684937270521935
90,153,154,27.42617253390675
91,153,553,7.842237199494767
92,154,158,27.42176451745047
93,154,184,8.004012062172677
94,158,166,27.449313649543274
95,158,308,7.895526755184573
96,166,169,27.364757336775938
97,166,179,7.883171382366791
98,167,168,27.432502073209314
99,167,185,7.960024992479542
100,168,298,7.93425182003365
101,168,302,27.41850573166803
102,169,62,7.948665190941043
103,174,29,7.843256955841454
104,174,107,10.53683248364615
105,176,149,7.710819728709077
106,176,314,27.385617940103835
107,179,182,27.505064832835423
108,179,414,8.01613183428005
109,182,158,7.965747131601427
110,182,184,27.41913297167553
111,184,168,7.962561826595921
112,184,185,27.429953118238657
113,185,153,8.042789155200209
114,192,196,27.365760249969156
115,192,220,7.857871376901916
116,196,199,7.92610817358887
117,196,457,7.876803645349266
118,199,291,7.900403118521611
119,199,431,19.49743782161585
120,206,46,27.372423307609353
121,210,212,19.091839210665462
122,212,199,7.816173370575685
123,212,216,8.340107016118946
124,216,196,7.818018972958168
125,216,220,27.39316639025671
126,220,495,7.992553575499802
127,228,229,7.855908104085567
128,228,352,27.397313415364138
129,229,118,27.511760104532247
130,229,357,3.824351970855936
131,230,231,8.630916135670534
132,230,245,27.44017968950545
133,231,298,27.450740138771888
134,231,302,7.863271238189941
135,232,79,8.568743596164078
136,232,259,31.18377294917442
137,235,22,7.974100931580762
138,235,66,31.169124936954383
139,244,96,8.412993077243188
140,245,83,8.480321462497457
141,245,101,5.318353345615085
142,247,65,7.993090831986513
143,247,264,27.361798521779356
144,259,0,8.45986547622643
145,259,339,15.486194639305747
146,264,18,7.988875191026187
147,265,247,6.099632059290639
148,265,381,8.19953341898774
149,272,273,12.606408761064031
150,273,118,7.6495858929330085
151,273,230,27.40060132546058
152,282,52,27.41331971740924
153,282,206,15.812304487866871
154,288,291,19.832149444669476
155,288,431,7.951704486105074
156,291,127,8.049177264803053
157,291,295,3.4709278551183913
158,295,457,4.2064339937228485
159,298,273,8.555925170847777
160,298,300,27.435789248835015
161,300,167,7.932124305314215
162,302,182,7.966735892103763
163,302,414,27.316964288194875
164,308,45,7.969855783370429
165,308,58,27.42172581424215
166,310,129,2.264894623265057
167,314,26,7.808930199727622
168,320,117,7.763619001874105
169,320,228,27.55796230810114
170,340,244,27.433355032968407
171,352,104,9.911676697233082
172,352,114,7.904157859125722
173,357,230,4.632995757551544
174,381,308,23.22903596250591
175,385,72,31.09652338757898
176,385,80,7.823955009703594
177,403,231,27.390350484623063
178,403,245,8.555021337438808
179,406,235,25.61303446930435
180,414,403,7.945320417054111
181,414,406,1.861831093438703
182,431,210,7.777690103624481
183,457,31,27.296440032529063
184,457,124,7.970225157822481
185,493,272,14.833959958751098
186,493,300,8.55323304695528
187,553,42,7.946015654120686
